;user-id;has-experience;no-assistance-effort;recommendations-effort;visualization-effort;combined-effort;no-assistance-frustration;recommendations-frustration;visualization-frustration;combined-frustration;no-assistance-mental-demand;recommendations-mental-demand;visualization-mental-demand;combined-mental-demand;no-assistance-uncertainty;recommendations-uncertainty;visualization-uncertainty;combined-uncertainty
0;10;False;85.0;20.0;80.0;70.0;75.0;0.0;70.0;15.0;95.0;65.0;95.0;75.0;95.0;60.0;80.0;70.0
1;11;True;100.0;80.0;70.0;80.0;15.0;10.0;10.0;15.0;100.0;75.0;65.0;80.0;35.0;20.0;10.0;20.0
2;12;True;65.0;40.0;20.0;20.0;35.0;25.0;15.0;25.0;80.0;55.0;25.0;30.0;55.0;30.0;15.0;10.0
3;13;True;80.0;60.0;80.0;30.0;70.0;45.0;40.0;25.0;80.0;50.0;65.0;45.0;65.0;40.0;45.0;20.0
4;14;True;75.0;75.0;75.0;25.0;75.0;25.0;35.0;25.0;95.0;70.0;80.0;30.0;85.0;15.0;30.0;15.0
5;15;True;50.0;55.0;30.0;30.0;35.0;40.0;25.0;20.0;65.0;70.0;40.0;40.0;65.0;60.0;80.0;25.0
6;16;True;80.0;45.0;40.0;20.0;60.0;25.0;55.0;10.0;85.0;40.0;60.0;25.0;75.0;55.0;65.0;5.0
7;17;False;60.0;10.0;75.0;35.0;45.0;10.0;75.0;25.0;55.0;10.0;80.0;30.0;60.0;30.0;85.0;45.0
8;18;True;55.0;65.0;20.0;40.0;15.0;15.0;5.0;30.0;80.0;75.0;40.0;75.0;45.0;40.0;20.0;45.0
9;19;False;65.0;50.0;55.0;70.0;20.0;60.0;15.0;20.0;75.0;65.0;70.0;80.0;10.0;35.0;10.0;15.0
10;20;True;65.0;15.0;85.0;30.0;45.0;10.0;45.0;20.0;65.0;25.0;100.0;60.0;45.0;5.0;55.0;10.0
11;21;False;60.0;40.0;65.0;45.0;55.0;60.0;75.0;65.0;70.0;65.0;75.0;65.0;45.0;55.0;70.0;60.0
12;22;False;35.0;35.0;25.0;20.0;15.0;20.0;5.0;5.0;50.0;40.0;60.0;40.0;40.0;35.0;30.0;10.0
13;23;False;60.0;40.0;60.0;25.0;30.0;25.0;45.0;35.0;65.0;35.0;60.0;30.0;40.0;30.0;45.0;25.0
14;24;False;55.0;30.0;75.0;25.0;25.0;0.0;40.0;0.0;70.0;50.0;85.0;65.0;60.0;40.0;45.0;20.0
15;25;True;70.0;15.0;65.0;70.0;25.0;10.0;35.0;50.0;75.0;20.0;65.0;50.0;35.0;10.0;45.0;40.0
16;26;True;40.0;25.0;40.0;35.0;20.0;15.0;10.0;10.0;70.0;45.0;65.0;65.0;65.0;45.0;70.0;50.0
17;27;False;55.0;10.0;40.0;35.0;65.0;5.0;35.0;30.0;55.0;15.0;30.0;40.0;70.0;10.0;40.0;45.0
18;28;False;85.0;65.0;75.0;60.0;45.0;20.0;40.0;15.0;75.0;40.0;80.0;40.0;50.0;40.0;40.0;30.0
19;29;False;60.0;60.0;75.0;65.0;40.0;45.0;35.0;35.0;65.0;55.0;85.0;60.0;45.0;35.0;50.0;25.0
20;30;False;75.0;50.0;55.0;65.0;55.0;20.0;40.0;45.0;80.0;55.0;75.0;65.0;60.0;30.0;70.0;45.0
21;31;False;70.0;45.0;60.0;40.0;45.0;15.0;35.0;10.0;75.0;50.0;75.0;55.0;65.0;30.0;50.0;35.0
22;32;False;70.0;30.0;75.0;40.0;20.0;10.0;25.0;10.0;65.0;30.0;65.0;40.0;50.0;25.0;40.0;25.0
23;33;False;80.0;55.0;75.0;60.0;45.0;20.0;35.0;25.0;70.0;50.0;65.0;50.0;65.0;40.0;55.0;55.0
24;34;False;60.0;55.0;65.0;45.0;55.0;20.0;45.0;25.0;65.0;40.0;70.0;50.0;60.0;45.0;50.0;45.0
25;35;False;65.0;35.0;70.0;55.0;45.0;25.0;50.0;20.0;75.0;50.0;65.0;50.0;70.0;45.0;55.0;30.0
26;36;False;60.0;45.0;90.0;60.0;50.0;5.0;75.0;10.0;75.0;50.0;95.0;55.0;50.0;25.0;85.0;10.0
27;37;False;70.0;45.0;70.0;40.0;50.0;15.0;40.0;20.0;80.0;40.0;75.0;35.0;75.0;35.0;70.0;25.0
28;38;False;75.0;40.0;70.0;40.0;40.0;10.0;50.0;15.0;70.0;40.0;85.0;45.0;50.0;30.0;65.0;35.0
29;39;True;35.0;40.0;30.0;40.0;5.0;0.0;15.0;10.0;15.0;35.0;30.0;45.0;10.0;10.0;30.0;25.0
30;40;True;70.0;60.0;65.0;60.0;25.0;5.0;15.0;5.0;70.0;40.0;55.0;35.0;45.0;25.0;40.0;15.0
